epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13753,1.79513,4.00248,15.4879,1.5836,0.00333,1,0.0177,0.01046,0.00333,1,0.0177,0.01092,0.85842,1.65013,6.27335,0.94913,6e-05,6e-05,6e-05
2,5.18108,1.52915,3.39068,13.2872,1.36663,0.00333,1,0.02034,0.01088,0.00333,1,0.02034,0.01259,0.82723,1.64322,6.51184,0.94659,0.000137228,0.000137228,0.000137228
3,7.12719,1.45468,3.22792,21.8319,1.35342,0.00333,1,0.01799,0.00889,0.00333,1,0.01799,0.0108,0.88175,1.64604,6.50713,0.95377,0.000211288,0.000211288,0.000211288
4,9.04435,1.10718,2.74881,12.2916,1.2619,0.00333,1,0.01799,0.00889,0.00333,1,0.01799,0.0108,0.88175,1.64604,6.50713,0.95377,0.00028218,0.00028218,0.00028218
5,11.0952,1.30413,2.74797,7.76813,1.16009,0.00333,1,0.03162,0.0144,0.00333,1,0.03162,0.01897,0.98,1.62542,6.70907,0.97247,0.000349904,0.000349904,0.000349904
6,13.0307,1.51464,3.282,15.8141,1.32491,0.00333,1,0.03162,0.0144,0.00333,1,0.03162,0.01897,0.98,1.62542,6.70907,0.97247,0.00041446,0.00041446,0.00041446
7,15.1019,1.75126,4.02133,11.8106,1.51163,0.00167,0.5,0.0125,0.00125,0.00167,0.5,0.0128,0.00278,1.6109,2.59646,7.95227,1.43213,0.000475848,0.000475848,0.000475848
8,17.2116,1.19417,3.55183,13.1072,1.15305,0.00167,0.5,0.0125,0.00125,0.00167,0.5,0.0128,0.00278,1.6109,2.59646,7.95227,1.43213,0.000534068,0.000534068,0.000534068
9,19.2916,1.27839,4.75605,12.9507,1.10626,0.00167,0.5,0.0125,0.00125,0.00167,0.5,0.0128,0.00278,1.6109,2.59646,7.95227,1.43213,0.00058912,0.00058912,0.00058912
10,21.439,1.54156,5.48097,11.1887,1.18227,0.00167,0.5,0.0036,0.00102,0.00167,0.5,0.01749,0.00233,1.59784,2.82007,8.35339,1.42187,0.000641004,0.000641004,0.000641004
11,23.6249,1.27246,3.53352,8.11221,1.13363,0.00167,0.5,0.0036,0.00102,0.00167,0.5,0.01749,0.00233,1.59784,2.82007,8.35339,1.42187,0.00068972,0.00068972,0.00068972
