epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91917,1.84039,4.50194,12.818,1.94213,0.0347,1,0.09929,0.07744,0.0347,1,0.10013,0.06325,0.46959,1.59736,5.09759,0.91251,6e-05,6e-05,6e-05
2,7.29125,1.4443,3.3913,8.76699,1.34039,0.14528,0.5,0.10576,0.08564,0.14528,0.5,0.10953,0.07166,0.47306,1.60492,5.23172,0.90692,0.000137228,0.000137228,0.000137228
3,10.9323,0.86761,2.20145,10.5159,1.08638,0.05306,0.5,0.09344,0.07337,0.05306,0.5,0.09344,0.06137,0.4453,1.6129,5.40706,0.91272,0.000211288,0.000211288,0.000211288
4,15.323,0.94379,2.33236,9.14657,1.19678,0.05306,0.5,0.09344,0.07337,0.05306,0.5,0.09344,0.06137,0.4453,1.6129,5.40706,0.91272,0.00028218,0.00028218,0.00028218
5,20.241,1.21829,2.52665,6.13855,1.21942,0.12441,0.5,0.08958,0.07483,0.12441,0.5,0.08958,0.0606,0.62734,1.62377,5.34922,0.94405,0.000349904,0.000349904,0.000349904
6,26.6954,0.99918,2.0064,8.0991,1.12413,0.12441,0.5,0.08958,0.07483,0.12441,0.5,0.08958,0.0606,0.62734,1.62377,5.34922,0.94405,0.00041446,0.00041446,0.00041446
7,33.2336,1.68464,4.98369,46.9714,1.52347,0.25,0.5,0.16831,0.06735,0,0,0,0,2.47497,10.1271,128.623,1.92756,0.000475848,0.000475848,0.000475848
8,42.8203,1.22743,6.68106,71.2241,1.08027,0.25,0.5,0.16831,0.06735,0,0,0,0,2.47497,10.1271,128.623,1.92756,0.000534068,0.000534068,0.000534068
9,51.9219,2.06435,6.55394,70.2138,1.8796,0.25,0.5,0.16831,0.06735,0,0,0,0,2.47497,10.1271,128.623,1.92756,0.00058912,0.00058912,0.00058912
10,62.3209,1.8985,7.33529,47.9313,1.52287,0.25,0.5,0.27611,0.099,0,0,0,0,2.36609,9.3343,109.448,2.0501,0.000641004,0.000641004,0.000641004
11,71.3169,1.72132,5.73012,36.1058,1.70381,0.25,0.5,0.27611,0.099,0,0,0,0,2.36609,9.3343,109.448,2.0501,0.00068972,0.00068972,0.00068972
12,80.921,1.73126,6.70848,59.667,1.59071,0.25,0.5,0.27611,0.099,0,0,0,0,2.36609,9.3343,109.448,2.0501,0.000735268,0.000735268,0.000735268
13,90.5718,1.64307,6.27179,120.365,1.24203,0.25,0.5,0.27611,0.099,0,0,0,0,2.36609,9.3343,109.448,2.0501,0.000777648,0.000777648,0.000777648
14,100.994,1.60718,8.61346,65.8655,1.22228,0.07462,1,0.11706,0.04628,0,0,0,0,2.38436,8.46195,124.219,2.37874,0.00081686,0.00081686,0.00081686
15,110.601,1.59182,8.49575,68.14,1.59916,0.07462,1,0.11706,0.04628,0,0,0,0,2.38436,8.46195,124.219,2.37874,0.000852904,0.000852904,0.000852904
16,119.557,1.92524,6.9833,54.1172,1.75574,0.07462,1,0.11706,0.04628,0,0,0,0,2.38436,8.46195,124.219,2.37874,0.00088578,0.00088578,0.00088578
17,128.567,2.04388,5.05391,59.7285,1.42664,0.07462,1,0.11706,0.04628,0,0,0,0,2.38436,8.46195,124.219,2.37874,0.000915488,0.000915488,0.000915488
18,134.242,1.52966,7.09827,44.741,1.28544,0.07462,1,0.11706,0.04628,0,0,0,0,2.38436,8.46195,124.219,2.37874,0.000942028,0.000942028,0.000942028
19,139.27,1.49792,7.21914,65.0225,1.33715,0.07462,1,0.11706,0.04628,0,0,0,0,2.38436,8.46195,124.219,2.37874,0.0009654,0.0009654,0.0009654
20,144.056,1.63681,8.258,92.7217,1.82029,0.04687,0.5,0.04542,0.02086,0,0,0,0,2.33805,8.62527,98.2694,2.55723,0.000985604,0.000985604,0.000985604
21,149.404,1.68618,4.89701,89.6449,1.57751,0.04687,0.5,0.04542,0.02086,0,0,0,0,2.33805,8.62527,98.2694,2.55723,0.00100264,0.00100264,0.00100264
22,154.445,1.79098,5.53382,57.6253,1.44255,0.04687,0.5,0.04542,0.02086,0,0,0,0,2.33805,8.62527,98.2694,2.55723,0.00101651,0.00101651,0.00101651
23,158.715,1.73597,7.16529,57.9331,1.49841,0.04687,0.5,0.04542,0.02086,0,0,0,0,2.33805,8.62527,98.2694,2.55723,0.00102721,0.00102721,0.00102721
24,164.173,2.00734,7.25966,117.426,1.80027,0.04687,0.5,0.04542,0.02086,0,0,0,0,2.33805,8.62527,98.2694,2.55723,0.00103474,0.00103474,0.00103474
25,168.747,1.6841,7.89503,51.398,1.38945,0.04687,0.5,0.04542,0.02086,0,0,0,0,2.33805,8.62527,98.2694,2.55723,0.0010391,0.0010391,0.0010391
26,173.45,2.00981,6.6829,88.2997,1.5482,0.04687,0.5,0.04542,0.02086,0,0,0,0,2.33805,8.62527,98.2694,2.55723,0.00101,0.00101,0.00101
27,179.725,1.45756,5.45295,132.515,1.32929,0.04687,0.5,0.04542,0.02086,0,0,0,0,2.33805,8.62527,98.2694,2.55723,0.0009704,0.0009704,0.0009704
28,185.201,1.9574,6.03243,81.0908,1.82134,0.04935,0.5,0.04542,0.02244,0,0,0,0,2.25793,8.19735,117.988,2.49064,0.0009308,0.0009308,0.0009308
29,192.124,1.63306,7.27702,52.1068,1.5934,0.04935,0.5,0.04542,0.02244,0,0,0,0,2.25793,8.19735,117.988,2.49064,0.0008912,0.0008912,0.0008912
30,198.148,1.81025,6.6626,62.2117,1.28692,0.04935,0.5,0.04542,0.02244,0,0,0,0,2.25793,8.19735,117.988,2.49064,0.0008516,0.0008516,0.0008516
31,205.607,1.70469,6.56838,57.9362,1.43765,0.04935,0.5,0.04542,0.02244,0,0,0,0,2.25793,8.19735,117.988,2.49064,0.000812,0.000812,0.000812
32,213.278,1.67572,7.64505,42.2557,1.37821,0.04935,0.5,0.04542,0.02244,0,0,0,0,2.25793,8.19735,117.988,2.49064,0.0007724,0.0007724,0.0007724
33,221.611,1.56594,6.23172,37.7592,1.39115,0.04935,0.5,0.04542,0.02244,0,0,0,0,2.25793,8.19735,117.988,2.49064,0.0007328,0.0007328,0.0007328
34,228.32,1.73882,5.82084,45.6046,1.56618,0.04935,0.5,0.04542,0.02244,0,0,0,0,2.25793,8.19735,117.988,2.49064,0.0006932,0.0006932,0.0006932
35,235.371,1.73819,5.40309,134.748,1.44523,0.04935,0.5,0.04542,0.02244,0,0,0,0,2.25793,8.19735,117.988,2.49064,0.0006536,0.0006536,0.0006536
36,243.031,2.02319,6.71003,59.7865,1.90764,0.05186,0.5,0.0385,0.0192,0,0,0,0,2.07146,8.27706,117.702,2.5819,0.000614,0.000614,0.000614
37,251.905,2.05738,6.33054,71.3109,1.94785,0.05186,0.5,0.0385,0.0192,0,0,0,0,2.07146,8.27706,117.702,2.5819,0.0005744,0.0005744,0.0005744
38,260.564,1.62365,7.09454,74.1969,1.31763,0.05186,0.5,0.0385,0.0192,0,0,0,0,2.07146,8.27706,117.702,2.5819,0.0005348,0.0005348,0.0005348
39,268.986,1.88944,5.22905,52.7443,1.64702,0.05186,0.5,0.0385,0.0192,0,0,0,0,2.07146,8.27706,117.702,2.5819,0.0004952,0.0004952,0.0004952
40,274.162,1.66154,7.384,81.7287,1.40027,0.05186,0.5,0.0385,0.0192,0,0,0,0,2.07146,8.27706,117.702,2.5819,0.0004556,0.0004556,0.0004556
41,279.023,2.60867,8.19081,154.696,2.1463,0.05186,0.5,0.0385,0.0192,0,0,0,0,2.07146,8.27706,117.702,2.5819,0.000416,0.000416,0.000416
42,283.769,1.82877,7.65629,91.3045,1.77447,0.05186,0.5,0.0385,0.0192,0,0,0,0,2.07146,8.27706,117.702,2.5819,0.0003764,0.0003764,0.0003764
43,288.467,1.46525,8.69085,106.228,1.30997,0.05186,0.5,0.0385,0.0192,0,0,0,0,2.07146,8.27706,117.702,2.5819,0.0003368,0.0003368,0.0003368
44,293.127,2.32417,7.78783,99.2958,1.92263,0,0,0,0,0,0,0,0,2.78018,5.74545,136.05,2.61586,0.0002972,0.0002972,0.0002972
45,298.163,1.90986,3.51668,15.6992,1.80213,0,0,0,0,0,0,0,0,2.78018,5.74545,136.05,2.61586,0.0002576,0.0002576,0.0002576
46,302.531,2.5907,3.63341,20.6663,2.63952,0,0,0,0,0,0,0,0,2.78018,5.74545,136.05,2.61586,0.000218,0.000218,0.000218
47,307.721,2.00174,3.41868,14.734,2.1067,0,0,0,0,0,0,0,0,2.78018,5.74545,136.05,2.61586,0.0001784,0.0001784,0.0001784
48,312.67,1.8517,3.28674,20.1919,1.89066,0,0,0,0,0,0,0,0,2.78018,5.74545,136.05,2.61586,0.0001388,0.0001388,0.0001388
49,317.648,2.01571,3.17711,20.4933,1.93083,0,0,0,0,0,0,0,0,2.78018,5.74545,136.05,2.61586,9.92e-05,9.92e-05,9.92e-05
50,322.567,2.38647,4.27002,18.3542,2.18469,0,0,0,0,0,0,0,0,2.78018,5.74545,136.05,2.61586,5.96e-05,5.96e-05,5.96e-05
