epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.69531,2.32908,4.41602,7.46444,1.81862,0.00333,1,0.00843,0.00358,0.00333,1,0.009,0.00362,0.63135,1.82847,4.62765,0.93341,6e-05,6e-05,6e-05
2,2.92259,2.02271,3.14715,5.83034,1.29655,0.00333,1,0.01327,0.00625,0.00333,1,0.01327,0.0061,0.83568,1.82247,4.9358,0.94056,0.000137228,0.000137228,0.000137228
3,4.10443,1.82813,2.77308,6.26877,1.41902,0.00333,1,0.01345,0.00673,0.00333,1,0.01345,0.00708,0.88391,1.86301,5.22283,0.94245,0.000211288,0.000211288,0.000211288
4,5.25851,1.36998,2.87432,4.53686,1.36607,0.00333,1,0.01345,0.00673,0.00333,1,0.01345,0.00708,0.88391,1.86301,5.22283,0.94245,0.00028218,0.00028218,0.00028218
5,6.5872,1.55143,2.86344,10.3162,1.11278,0.17769,0.5,0.17592,0.07422,0.17769,0.5,0.17592,0.02732,2.48864,4.01975,59.9111,1.40964,0.000349904,0.000349904,0.000349904
6,8.38722,1.08187,3.15567,9.61826,0.94507,0.17769,0.5,0.17592,0.07422,0.17769,0.5,0.17592,0.02732,2.48864,4.01975,59.9111,1.40964,0.00041446,0.00041446,0.00041446
7,10.2503,1.47634,4.00478,8.91664,1.09693,0.32874,0.98276,0.41417,0.13291,0.12627,0.5,0.12598,0.06235,1.94033,3.84473,42.714,1.24719,0.000475848,0.000475848,0.000475848
8,12.211,1.90163,3.43513,17.5779,1.24459,0.32874,0.98276,0.41417,0.13291,0.12627,0.5,0.12598,0.06235,1.94033,3.84473,42.714,1.24719,0.000534068,0.000534068,0.000534068
9,13.9908,1.95924,4.56107,20.5629,1.16224,0.32874,0.98276,0.41417,0.13291,0.12627,0.5,0.12598,0.06235,1.94033,3.84473,42.714,1.24719,0.00058912,0.00058912,0.00058912
10,15.7692,1.23126,3.68143,10.4152,1.05398,0.27691,1,0.41417,0.19736,0.27691,1,0.33167,0.08672,1.57045,3.16014,22.9917,1.16976,0.000641004,0.000641004,0.000641004
11,17.4923,1.35225,3.14505,8.11236,1.08275,0.27691,1,0.41417,0.19736,0.27691,1,0.33167,0.08672,1.57045,3.16014,22.9917,1.16976,0.00068972,0.00068972,0.00068972
12,19.4053,1.41741,3.24999,16.3355,1.02227,0.27691,1,0.41417,0.19736,0.27691,1,0.33167,0.08672,1.57045,3.16014,22.9917,1.16976,0.000735268,0.000735268,0.000735268
13,21.2299,1.96,3.62836,23.8839,1.19911,0.27691,1,0.41417,0.19736,0.27691,1,0.33167,0.08672,1.57045,3.16014,22.9917,1.16976,0.000777648,0.000777648,0.000777648
14,23.0019,1.46579,4.04232,18.6682,1.0382,0.31551,0.5,0.31417,0.15723,0.11388,1,0.145,0.05353,1.51272,3.22112,13.478,1.15234,0.00081686,0.00081686,0.00081686
15,24.5957,1.53558,3.51007,18.8914,1.14622,0.31551,0.5,0.31417,0.15723,0.11388,1,0.145,0.05353,1.51272,3.22112,13.478,1.15234,0.000852904,0.000852904,0.000852904
16,26.3152,1.63864,3.97639,12.0247,1.28267,0.31551,0.5,0.31417,0.15723,0.11388,1,0.145,0.05353,1.51272,3.22112,13.478,1.15234,0.00088578,0.00088578,0.00088578
17,28.082,2.24964,3.96992,18.731,1.26683,0.31551,0.5,0.31417,0.15723,0.11388,1,0.145,0.05353,1.51272,3.22112,13.478,1.15234,0.000915488,0.000915488,0.000915488
18,29.8052,1.43593,3.18776,10.995,1.06341,0.31551,0.5,0.31417,0.15723,0.11388,1,0.145,0.05353,1.51272,3.22112,13.478,1.15234,0.000942028,0.000942028,0.000942028
19,31.4053,1.35443,3.39821,15.7817,1.20719,0.31551,0.5,0.31417,0.15723,0.11388,1,0.145,0.05353,1.51272,3.22112,13.478,1.15234,0.0009654,0.0009654,0.0009654
20,33.2044,1.30715,2.97281,18.9968,1.13909,0.00174,0.5,0.0013,0.00091,0.00174,0.5,0.0013,0.00052,3.11557,4.40033,inf,2.69145,0.000985604,0.000985604,0.000985604
21,34.8771,3.37957,3.91311,80.851,2.48489,0.00174,0.5,0.0013,0.00091,0.00174,0.5,0.0013,0.00052,3.11557,4.40033,inf,2.69145,0.00100264,0.00100264,0.00100264
22,36.4616,2.75467,3.98584,27.3228,1.85439,0.00174,0.5,0.0013,0.00091,0.00174,0.5,0.0013,0.00052,3.11557,4.40033,inf,2.69145,0.00101651,0.00101651,0.00101651
23,38.0577,2.54733,3.56669,42.4814,1.69035,0.00174,0.5,0.0013,0.00091,0.00174,0.5,0.0013,0.00052,3.11557,4.40033,inf,2.69145,0.00102721,0.00102721,0.00102721
24,39.7467,2.05962,3.08431,117.859,1.93864,0.00174,0.5,0.0013,0.00091,0.00174,0.5,0.0013,0.00052,3.11557,4.40033,inf,2.69145,0.00103474,0.00103474,0.00103474
25,41.3278,2.25721,3.16669,42.0354,1.66343,0.00174,0.5,0.0013,0.00091,0.00174,0.5,0.0013,0.00052,3.11557,4.40033,inf,2.69145,0.0010391,0.0010391,0.0010391
26,42.9292,2.44206,3.45781,122.36,1.68657,0.00174,0.5,0.0013,0.00091,0.00174,0.5,0.0013,0.00052,3.11557,4.40033,inf,2.69145,0.00101,0.00101,0.00101
