epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,44.6254,1.32222,2.55399,87.8266,1.13894,0.00174,0.5,0.0013,0.00091,0.00174,0.5,0.0013,0.00052,3.11557,4.40033,inf,2.69145,0.0009704,0.0009704,0.0009704
28,46.4083,2.13929,3.99745,76.4702,1.61955,0.00359,0.5,0.00259,0.00155,0.00359,0.5,0.00259,0.00103,2.57284,3.55192,45.119,2.11773,0.0009308,0.0009308,0.0009308
29,48.0968,1.85491,3.20672,36.2259,1.49055,0.00359,0.5,0.00259,0.00155,0.00359,0.5,0.00259,0.00103,2.57284,3.55192,45.119,2.11773,0.0008912,0.0008912,0.0008912
30,49.7766,1.72992,3.12287,24.3354,1.18896,0.00359,0.5,0.00259,0.00155,0.00359,0.5,0.00259,0.00103,2.57284,3.55192,45.119,2.11773,0.0008516,0.0008516,0.0008516
31,51.3951,2.32783,3.32483,36.6562,1.74219,0.00359,0.5,0.00259,0.00155,0.00359,0.5,0.00259,0.00103,2.57284,3.55192,45.119,2.11773,0.000812,0.000812,0.000812
32,53.0869,2.22792,3.7725,55.5921,1.52252,0.00359,0.5,0.00259,0.00155,0.00359,0.5,0.00259,0.00103,2.57284,3.55192,45.119,2.11773,0.0007724,0.0007724,0.0007724
33,54.6972,1.98105,3.10039,21.7608,1.49832,0.00359,0.5,0.00259,0.00155,0.00359,0.5,0.00259,0.00103,2.57284,3.55192,45.119,2.11773,0.0007328,0.0007328,0.0007328
34,56.2929,1.91326,3.34386,62.8422,1.47988,0.00359,0.5,0.00259,0.00155,0.00359,0.5,0.00259,0.00103,2.57284,3.55192,45.119,2.11773,0.0006932,0.0006932,0.0006932
35,57.9011,2.80419,3.88491,50.8769,1.97792,0.00359,0.5,0.00259,0.00155,0.00359,0.5,0.00259,0.00103,2.57284,3.55192,45.119,2.11773,0.0006536,0.0006536,0.0006536
36,59.7222,2.10855,3.5384,40.4653,1.57095,0.0023,0.5,0.00248,0.00149,0.0023,0.5,0.00248,0.00119,2.55589,3.18559,30.3379,2.11775,0.000614,0.000614,0.000614
37,61.5034,2.29418,4.3945,35.3828,1.76184,0.0023,0.5,0.00248,0.00149,0.0023,0.5,0.00248,0.00119,2.55589,3.18559,30.3379,2.11775,0.0005744,0.0005744,0.0005744
38,63.1922,2.02737,3.96136,52.3647,1.64883,0.0023,0.5,0.00248,0.00149,0.0023,0.5,0.00248,0.00119,2.55589,3.18559,30.3379,2.11775,0.0005348,0.0005348,0.0005348
39,64.804,2.34426,3.72343,29.1978,1.64219,0.0023,0.5,0.00248,0.00149,0.0023,0.5,0.00248,0.00119,2.55589,3.18559,30.3379,2.11775,0.0004952,0.0004952,0.0004952
40,66.4941,2.07811,3.29807,66.4083,1.37677,0.0023,0.5,0.00248,0.00149,0.0023,0.5,0.00248,0.00119,2.55589,3.18559,30.3379,2.11775,0.0004556,0.0004556,0.0004556
41,68.1684,2.81424,3.78182,34.5259,1.97956,0.0023,0.5,0.00248,0.00149,0.0023,0.5,0.00248,0.00119,2.55589,3.18559,30.3379,2.11775,0.000416,0.000416,0.000416
42,69.8228,2.41232,3.89052,30.3301,1.71605,0.0023,0.5,0.00248,0.00149,0.0023,0.5,0.00248,0.00119,2.55589,3.18559,30.3379,2.11775,0.0003764,0.0003764,0.0003764
43,71.5106,1.92039,2.97904,26.4809,1.4788,0.0023,0.5,0.00248,0.00149,0.0023,0.5,0.00248,0.00119,2.55589,3.18559,30.3379,2.11775,0.0003368,0.0003368,0.0003368
44,73.2907,2.03255,3.82664,35.9426,1.52232,0.00419,0.5,0.00304,0.00152,0.00419,0.5,0.00304,0.00122,2.36435,3.26395,32.9526,1.86405,0.0002972,0.0002972,0.0002972
45,74.9744,2.34007,3.6477,45.4425,1.56581,0.00419,0.5,0.00304,0.00152,0.00419,0.5,0.00304,0.00122,2.36435,3.26395,32.9526,1.86405,0.0002576,0.0002576,0.0002576
46,76.602,2.22456,3.77596,51.6503,1.6909,0.00419,0.5,0.00304,0.00152,0.00419,0.5,0.00304,0.00122,2.36435,3.26395,32.9526,1.86405,0.000218,0.000218,0.000218
47,78.2155,2.08317,3.61978,37.167,1.54269,0.00419,0.5,0.00304,0.00152,0.00419,0.5,0.00304,0.00122,2.36435,3.26395,32.9526,1.86405,0.0001784,0.0001784,0.0001784
48,79.965,2.31757,3.35305,40.6889,1.71207,0.00419,0.5,0.00304,0.00152,0.00419,0.5,0.00304,0.00122,2.36435,3.26395,32.9526,1.86405,0.0001388,0.0001388,0.0001388
49,81.5613,2.42603,3.33088,30.1029,1.65733,0.00419,0.5,0.00304,0.00152,0.00419,0.5,0.00304,0.00122,2.36435,3.26395,32.9526,1.86405,9.92e-05,9.92e-05,9.92e-05
50,83.1418,2.68358,3.44315,36.7724,1.87111,0.00419,0.5,0.00304,0.00152,0.00419,0.5,0.00304,0.00122,2.36435,3.26395,32.9526,1.86405,5.96e-05,5.96e-05,5.96e-05
